"grouping","modification","site","non_wetting","acidic","physical","rainfall_mean_annual","site_numb","activity","year","value","comments","data source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional costs ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional costs ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional savings ($/ha)",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional savings ($/ha)",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","cost harvesting and handling extra grain $/t",1,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional costs ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional costs ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional savings ($/ha)",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional savings ($/ha)",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","cost harvesting and handling extra grain $/t",2,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Sherwood","green","green","red","459.7","025507","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Cummins","green","orange","red","422.5","018023","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Karkoo","green","green","orange","408.3","018099","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Buckleboo","green","green","red","346.2","018040","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kybunga","orange","green","red","633.7","021014","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional costs ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Warnertown","orange","green","red","374.8","021102","additional costs ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_chickpea","green","green","red","323.1","049002","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lentil","green","green","red","323.1","049002","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Kooloonong_lupin","green","green","red","323.1","049002","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm amendment","deep ripping","Tempy","orange","green","red","328.4","076047","additional savings ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional savings ($/ha)",3,0,"nil","source"
"deep ripping > 40cm no amendment","deep ripping","Wynarka","red","green","red","340.4","025006","additional savings ($/ha)",3,0,"nil","source"
"deep ripping < 40cm no amendment","deep ripping","Malinong","red","red","red","458.3","025508","additional savings ($/ha)",3,0,"nil","source"
